강좌명,강좌내용,교육대상구분,교육방법구분,교육장도로명주소,운영기관명,강좌난이도,홈페이지주소
건축과 인공지능이 만나서 생기는 놀라운 변화,"노쇼가 없는 성숙한 성동중도 포기를 하지 않는 열정 성동○ 교육내용- 한양대학교 건축공학과 왕승현 교수와 함께하는  건축과 인공지능이 만나서 생기는 놀라운 변화※ 상기 내용은 상황에 따라 변경될 수 있습니다.※ 알림톡 참고（예약 완료시 알림톡 전송, 대기자는 취소자 발생 시 순차적으로 전송됩니다.）※ 다수의 학습자들에게 수강 기회를 주기 위하여 꼭 원하시는 강좌만 신청하시기 바랍니다.○ 유의사항 탭의 내용은 반드시 필독- 유의사항 미확인시 문제가 발생할 수 있습니다.",성인,방문교육,서울특별시 성동구 왕십리로 222 한양대학교 국제관,서울특별시 성동구청 교육지원과,초급,https://sd.go.kr/booking/webEduDetail.do?key=4916&eduMngNo=568&searchCheck=E2&&pageIndex=1
나의 첫 인공지능,인공지능,성인,오프라인,세종특별자치시 조치원읍 문화2길 25(침산리 67번지),세종특별자치시교육청평생교육학습관,초급,
AI 활용 수익화 블로그 만들기,블로그,성인,오프라인,세종특별자치시 조치원읍 문화2길 25(침산리 67번지),세종특별자치시교육청평생교육학습관,중급,
챗GPT와 미리캔버스로 SNS디자인하기,디자인 도구인 미리캔버스와 챗GPT를 이용한 디자인 방법 배우기,성인,오프라인,충청남도 공주시 유구읍 중앙1길 49-17,충청남도공주교육지원청유구도서관,중급,http://yglib.cne.go.kr
ChatGPT 활용하기,누구나 쉽게 배우는 ChatGPT의 실생활 무한 활용법,19세 이상 아산시민 또는 아산시에 주소를 둔 사업체 및 기관단체 종사자,오프라인,충청남도 아산시 남부로 92,충청남도 아산시 평생학습관,초급,https://life.asan.go.kr
"AI와 함께하는 엑셀, 파워포인트, 한글 첫걸음",AI를 활용한 실무에서 바로 사용할 수 있는 문서작성 실습,19세 이상 아산시민 또는 아산시에 주소를 둔 사업체 및 기관단체 종사자,오프라인,충청남도 아산시 남부로 92,충청남도 아산시 평생학습관,중급,https://life.asan.go.kr
챗GPT 활용,일상과 업무에서 생성형AI활용교육,지역주민,오프라인,충청남도 태안군 태안읍 백화로 180 교육문화센터,태안군평생학습관,중급,
스마트폰으로 배우는 AI 기초,스마트폰으로 일상생활에 필요한 유용한 앱 및 환경 설정 알아보기,학부모+지역 주민,오프라인,충청북도 음성군 음성읍 시장로 126번길 32,음성교육도서관,초급,https://www.eselib.go.kr
메타버스&AI 놀이터,"메타버스 개념, 가상현실 공간 만들고 체험하기",초등 전학년,오프라인,충청북도 음성군 음성읍 시장로 126번길 31,음성교육도서관,초급,https://www.eselib.go.kr
인공지능 뤼튼으로 과제물 척척,뤼튼(AI) 활용하여 과제하기,초등 고학년,오프라인,충청북도 음성군 음성읍 시장로 126번길 30,음성교육도서관,중급,https://www.eselib.go.kr
AI를 활용한 PPT제작. 업무효율 높이기,"AI를 활용한 도구 소개 및 사용법, 활용법, 실습",성인,오프라인,인천광역시 계양구 계산새로88,인천광역시 계양구청,중급,http://gylle.gyeyang.go.kr
"AI를 활용한 PPT 제작, 업무효율 높이기","AI를 활용한 도구 소개 및 사용법, 활용법, 실습",성인,오프라인,인천광역시 계양구 계산새로88,인천광역시 계양구청,중급,http://gylle.gyeyang.go.kr
찾아가는 인공지능,"AI이해 및 음악작곡, 프로그램 제작",초중등,오프라인,충청북도 괴산군 도정로77,괴산교육도서관,중급,http://www.gselib.go.kr
우리는 인공지능 엔지니어,인공지능의 기초 및 머닝러신 학습,초등,오프라인,충청북도 괴산군 괴산읍 읍내로12길 43,괴산교육도서관,초급,http://www.gselib.go.kr
AI를 활용한 유튜브 영상 제작법,"AI를 활용한 도구 소개 및 사용법, 활용법, 실습",성인,오프라인,인천광역시 계양구 계산새로88,인천광역시 계양구청,중급,http://gylle.gyeyang.go.kr
실무에바로쓰는인터넷&스마트폰AI활용,인터넷 및 스마트폰 기초교육,18세이상 양구군민,오프라인,강원특별자치도 양구군 양구읍 박수근로 286-5,강원특별자치도 양구군청,초급,https://www.yanggu.go.kr/lll/yglll/index.do
명사초청특강 미래사회 메가트렌드와 AI가 바꾸는 세상,교육,지역주민,오프라인,충청북도 단양군 단양읍 중앙 1로 32,충청북도 단양군청,초급,https://www.danyang.go.kr/ok/
AI로 콘텐츠 제작하기,교육,지역주민,오프라인,충청북도 단양군 단양읍 중앙 1로 32,충청북도 단양군청,중급,https://www.danyang.go.kr/ok/
작업대신하는AI어디없나,교육,지역주민,오프라인,충청북도 단양군 단양읍 중앙 1로 32,충청북도 단양군청,초급,https://www.danyang.go.kr/ok/
일대신하는AI어디없나,교육,지역주민,오프라인,충청북도 단양군 단양읍 중앙 1로 32,충청북도 단양군청,초급,https://www.danyang.go.kr/ok/
노션AI블로그프로,교육,지역주민,오프라인,충청북도 단양군 단양읍 중앙 1로 32,충청북도 단양군청,중급,https://www.danyang.go.kr/ok/
