강좌명,강좌내용,교육대상구분,교육방법구분,교육장도로명주소,운영기관명,강좌난이도,홈페이지주소
(AI 기반) 스마트폰으로 사진 편집,AI 기반 스마트폰카메라 편집 기술로 완성하는 인생샷,성인,오프라인,경기도 광주시 광주대로116,경기도 광주시청,중급,https://gjedu.gseek.kr/user/course/offline/list
챗GPT-기초(주간),챗GPT AI 활용 방법 기초 배우기,지역주민+성인,오프라인,"충청북도 음성군 음성읍 수정로 37, 2층",설성평생학습관,초급,https://edu.eumseong.go.kr
캔바 AI 활용-기초(야간),캔바 AI 활용 방법 기초 배우기,지역주민+성인,오프라인,"충청북도 음성군 음성읍 수정로 37, 2층",설성평생학습관,초급,https://edu.eumseong.go.kr
캔바 AI 활용,AI 기능이 탑재된 온라인 디자인 플랫폼인 캔바를 활용하여 다양한 콘텐츠를 쉽게 제작하는 디지털 디자인 실습 과정,지역주민+성인,오프라인,충청북도 음성군 금왕읍 금빛공원2길 2,금빛평생학습관,중급,https://edu.eumseong.go.kr
챗GPT 초보자 가이드,생성형 AI 실전 활용,지역주민+성인,오프라인,충청북도 음성군 금왕읍 금빛공원2길 2,금빛평생학습관,중급,https://edu.eumseong.go.kr
[조영호 명예교수] AI와 함께하는 시니어 행복멘탈코칭,시니어 행복멘탈코칭에 대해 알아보기,시니어,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
[언제든학교]사계절 마음 산책-AI와 함께 마음을 노래하는 글쓰기,AI를 활용하여 글쓰기,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
[수원시평생학습축제] AI와 함께하는 내 안의 행복찾기 멘탈코칭,AI를 활용하여 멘탈코칭 하기,전체,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
인공지능 시대 공부의 딜레마,"AI의 주인이 될 것인가, 더불어 성장의 주인공이 될 것인가? 알아보기",전체,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
"AI와 기후의 미래 - 디지털 과잉 함정에 빠진 한국, 더 위험해진 기후",우리 사회가 새롭게 직면한 거대한 딜레마와 관련해 세계 각국의 동향을 살펴보면서 우리나라의 현재와 나아갈 방향을 모색,전체,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
"인공지능과 읽기 쓰기의 변화, 그리고 나의 리터러시 생태계 가꾸기",급속한 변화 속에서 가치있는 읽기 쓰기를 실천하기 위해 자신의 리터러시 생태계를 어떻게 가꾸어야 할지 살펴보기,전체,온라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
"인공지능과 노동 : AI가 대체하는, 대체 못하는 노동","AI 시대 인간 노동의 미래를 함께 탐색하고,인류학자로서 목격한 현장의 목소리를 바탕으로 공감과 창의의 힘을 통해존엄한 노동의 가치를 지켜나갈 방안을 모색",전체,온라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
AI블루: 사람들은 어떤 마음으로 AI를 경험하는가,AI에 밀릴 것 같은 위기감에 대해 살펴보고 길을 함께 모색해 보는 시간,전체,온라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
AI시대 노동의 지각 변동 : 감정 노동을 중심으로,인공지능 활용수업,전체,온라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
AI 제대로 일시키는 프롬프트 엔지니어 전문과정,인공지능 활용수업,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,고급,http://learning.suwon.go.kr
[조영호 명예교수 특강] AI와 함께하는 시니어 행복멘탈코칭,AI를 활용하여 건강한 정신 만들기,시니어,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
[성인반 특강] AI 앱 제작과 모듈형 로봇 원격제어 교육,AI 앱 제작과 모듈형 로봇 원격제어 교육,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
[청소년 여름방학 특강] AI 앱 제작과 모듈형 로봇 원격제어 교육,AI 앱 제작과 모듈형 로봇 원격제어 교육,청소년,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
AI를 활용한 나만의 전자책 만들기(25년3분기),ai를 활용하여 전자책을 만드는 방법알아보기,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
"AI 기술 활용, 리뷰형 숏폼 크리에이터 도전(25년3분기)",유튜브 숏폼 중 사용후기에 대한 숏폼 만드는 방법,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
블로그 성장의 기술-AI글쓰기&디자인 실전(25년3분기),AI를 활용한 블로그 개설 및 편집교육,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
AI 기본개념과 프롬프트 엔지니어링 사용 기초,생활문화,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
모두의 AI(인공지능) 피지컬 컴퓨팅,모두의 AI(인공지능) 피지컬 컴퓨팅,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
인공지능은 나의 읽기-쓰기를 어떻게 바꿀까,글쓰기,전체,온라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
[초등학생] 로봇과 AI를 활용한 S/W 제작 및 원격 조종 실습 과정,코딩과 로봇을 활용한 원격조종실습과정(학생편),청소년,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
[성인반] 로봇과 AI를 활용한 원격 로봇 코딩 입문 교육,코딩과 로봇을 활용한 원격조종실습과정(성인편),성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
나도 AI 크리에이터,인공지능 활용수업,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
AI 활용 중급 과정-오피스 시간 절약 도전 하기,인공지능 활용수업,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
생성 AI 활용 영화제작 전문가 과정,생성 AI 활용 영화제작 전문가 과정,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,고급,http://learning.suwon.go.kr
로봇을 위한 인공지능 입문 교육 [성균관대학교],로봇을 위한 인공지능 입문 교육 [성균관대학교],전체,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
AI로 만드는 나만의 그림책,AI로 만드는 나만의 그림책,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
[조영호교수 특강] AI와 함께하는 시니어 행복멘탈코칭,인생후반기 설계하기,시니어,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
"시니어 정보문해 교육 (스마트폰, AI, 피싱예방)",스마트폰 피싱예방 교육,시니어,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
[언제든학교]나를 만나고 쓰는 시간 AI와 함께 만드는 사계절 자서전,ai와 사계절을 활용한 자서전 쓰기,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
생성형 AI 오피스 자동화 활용(중급),ai를 활용한 오피스 수업,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
AI로 완성하는 멀티미디어 블로그 마스터,AI를 활용한 블로그 개설 및 편집교육,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
인공지능과 함께 살아가기,인공지능과 함께 살아가기,전체,온라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
생성형 AI 활용 개인 이미지 메이킹과 퍼스널 브랜딩,"AI를 활용하여 이력서, 자기소개서 작성법 등 알아보기",성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
"로봇 기술 진화의 발자취 : 로봇기술의 발전과 활용, AI 동반 성장의 이야기","로봇기술의 발전과 활용, AI 동반 성장의 이야기",전체,온라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
AI와 내 전자책으로 SNS 전문가 되기,AI를 활용하여 나의 글쓰기 홍보하기,성인,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
"과학과 친해지기: AI, 로봇, 인간, 미래",시민들이 배우고자 하는 주제에 대해 모여서 함께 관련 영상을 보거나 이야기를 나누며 공부하는 자발적 학습모임,전체,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2,경기도 수원시평생학습관,중급,http://learning.suwon.go.kr
AI시대 우리가 읽고 쓰는 이유,인문,전체,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
일잘러가 되는 챗GPT 오피스 활용,디지털미디어,전체,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시글로벌평생학습관,중급,http://learning.suwon.go.kr
챗GPT를 활용한 AI제작,디지털미디어,전체,오프라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시글로벌평생학습관,중급,http://learning.suwon.go.kr
인공지능(AI)와 삶,인문,전체,온라인,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),경기도 수원시평생학습관,초급,http://learning.suwon.go.kr
20개 산업 분야에서의 인공지능 활약상,다양한 분야의 인공지능,지역주민,온라인,서울특별시 동작구 장승배기로 161,서울특별시 동작구 평생학습관,초급,http://www.dongjak.go.kr
ChatGPT로 만드는 동화책,인공지능 이해와 실습,지역주민,온라인,서울특별시 동작구 장승배기로 168,서울특별시 동작구 평생학습관,중급,http://www.dongjak.go.kr
인공지능 인문학 Full Course,인문학과 인공지능에 대한 이론,지역주민,온라인,서울특별시 동작구 장승배기로 168,서울특별시 동작구 평생학습관,초급,http://www.dongjak.go.kr
생성형AI 내 맘대로 생성해보기,인공지능 이해와 활용,지역주민,오프라인,서울특별시 동작구 장승배기로 168,서울특별시 동작구 평생학습관,중급,http://www.dongjak.go.kr
"창의적 인공지능 시대, 창의성 교육과 미래",인공지능과 창의성,지역주민,오프라인,서울특별시 동작구 장승배기로 168,서울특별시 동작구 동작구민대학,초급,http://www.dongjak.go.kr
생성형 AI를 이용한 콘텐츠 창작,생성형 AI를 이용한 콘텐츠 창작,지역주민,오프라인,서울특별시 동작구 장승배기로 168,서울특별시 동작구 동작구민대학,중급,http://www.dongjak.go.kr
인공지능 인문학 Full Course,인공지능과 관련한 다방면의 인문학,지역주민,오프라인,서울특별시 동작구 장승배기로 168,서울특별시 동작구 동작구민대학,초급,http://www.dongjak.go.kr
SF로 보는 미래사회,인공위성과 인공지능 기술 발전과 문학,지역주민,온라인,서울특별시 동작구 노량진로 140,서울특별시 동작구 평생학습관,초급,http://www.dongjak.go.kr
<평생학습도시 - 4차 산업혁명시대 > 인공지능 빅데이터 과정,인공지능 이해 및 공공데이터 활용,지역주민,온라인,서울특별시 동작구 노량진로 140,서울특별시 동작구 평생학습관,중급,http://www.dongjak.go.kr
처음 만나는 AI,AI 입문,지역주민,오프라인,서울특별시 동작구 장승배기로 168,서울특별시 동작구 동작구민대학,초급,http://www.dongjak.go.kr
스마트한 디지털 생활과 일상 속의 AI,디지털과 AI 활용,지역주민,오프라인,서울특별시 동작구 장승배기로 168,서울특별시 동작구 동작구민대학,중급,http://www.dongjak.go.kr
AI ON 디지털 미디어 콘텐츠,디지털과 AI 활용,지역주민,오프라인,서울특별시 동작구 사당로 143,서울특별시 동작구 동작구민대학,중급,http://www.dongjak.go.kr
디지털 & AI로 다시 쓰는 커리어,디지털과 AI 활용 기초,지역주민,오프라인,서울특별시 동작구 사당로 143,서울특별시 동작구 동작구민대학,초급,http://www.dongjak.go.kr
AI가 만드는 새로운 세계(대구미디어센터),경북도민행복대학 강의,지역주민,오프라인,경상북도 성주군 성주읍 성산9길 45,경상북도 성주군청,초급,http://성주군청 (sj.go.kr)
일상을 혁신하는 생성형 AI 트렌드와 활용법,"노쇼가 없는 성숙한 성동중도 포기를 하지 않는 열정 성동○ 교육내용생성형 AI의 최신 트렌드와 미래 전망을 이해하고, 일상생활에서 생성형 AI를 효과적으로 활용하는 방법을 습득한다.○ 커리큘럼 특강） 생성형 AI 트렌드, 일상 혁신을 위한 생성형 AI 활용법, 생성형 AI 윤리와 비판적 사고※ 상기 커리큘럼은 상황에 따라 변경될 수 있습니다.※ 알림톡 참고（예약 완료시 알림톡 전송, 대기자는 취소자 발생 시 순차적으로 전송됩니다.）※ 다수의 학습자들에게 수강 기회를 주기 위하여 꼭 원하시는 강좌만 신청하시기 바랍니다.○ 유의사항 탭의 내용은 반드시 필독- 유의사항 미확인시 문제가 발생할 수 있습니다.",성인,방문교육,서울특별시 성동구 금호로 30 독서당인문아카데미센터,서울특별시 성동구청 교육지원과,중급,https://sd.go.kr/booking/webEduDetail.do?key=4916&eduMngNo=568&searchCheck=E2&&pageIndex=1
스마트폰 신나게 활용하기,스마트폰 스스로 관리하고 어플 다양하게 실습하고 AI 인공지능 활용하기,미추홀구 주민,오프라인,인천광역시 미추홀구 소성로 189,인천광역시 미추홀구청,중급,http://michuhol.go.kr/lll
스마트폰 신나게 활용하기,스마트폰을 스스로 관리하고 어플을 다양하게 실습하고 동영상 편집 및 인공지능 활용하기,미추홀구 주민,오프라인,인천광역시 미추홀구 구월남로 20,인천광역시 미추홀구청,중급,http://michuhol.go.kr/lll
어린이 인공지능 교실(나도 인공지능 개발자),다양한 놀이를 통한 인공지능 활용 체험 수업,초등5~6,오프라인,충청북도 영동군 영동읍 학산영동로 1220,충청북도 영동교육지원청,중급,http://www.ydelib.go.kr/
어린이 인공지능 교실(내가 만드는 인공지능),다양한 놀이를 통한 인공지능 활용 체험 수업,초등3~4,오프라인,충청북도 영동군 영동읍 학산영동로 1220,충청북도 영동교육지원청,초급,http://www.ydelib.go.kr/
어린이 인공지능 교실(나도 해요 인공지능),다양한 놀이를 통한 인공지능 활용 체험 수업,초등1~2,오프라인,충청북도 영동군 영동읍 학산영동로 1220,충청북도 영동교육지원청,초급,http://www.ydelib.go.kr/
생활속 GPT 활용 가이드(PC),생활속 GPT의 개념 및 기술적 이해 제공,지역주민,오프라인,전라북도 고창군 고창읍 태봉로 361,전북특별자치도 고창군청,초급,http://www.gochang.go.kr
생활속 GPT 활용 가이드(모바일),생활속 GPT의 개념 및 기술적 이해 제공,지역주민,오프라인,전라북도 고창군 고창읍 태봉로 361,전북특별자치도 고창군청,초급,http://www.gochang.go.kr
AI트렌드&활용,컴퓨터,학부모+지역주민,오프라인,강원특별자치도 삼척시 진주로 48-41,삼척교육문화관,중급,http://lib.gwe.go.kr/samecc
AI활용 SNS 콘텐츠 제작,AI 도구와 영상 편집 기술을 활용한 콘텐츠 제작,학부모+성인,오프라인,강원특별자치도 강릉시 노암등길 37-1,강릉교육문화관,중급,https://lib.gwe.go.kr/gnecc/index.do
일상에 적용하는 디지털 AI,인공지능의 창의적도구를 활용한 일상활용법 배우기,학부모+성인,오프라인,강원특별자치도 강릉시 노암등길 37-1,강릉교육문화관,중급,https://lib.gwe.go.kr/gnecc/index.do
내손안에 AI- 챗 GPT,AI 도구(툴) 활용법,지역주민,오프라인,대전광역시 중구 대흥로 109(대흥동),대전광역시 중구청,중급,https://www.djjunggu.go.kr/lll/index.do
AI프롬프트 엔지니어링_직장인편(인제읍),AI프롬프트 엔지니어링_직장인편(인제읍),성인,오프라인,강원특별자치도 인제군 인제읍 덕산로192번길 66-8,인제군평생학습센터,고급,http://lifelong.inje.go.kr
AI프롬프트 엔지니어링_기초편(기린면),AI프롬프트 엔지니어링_기초편(기린면),성인,오프라인,강원특별자치도 인제군 기린면 대내로 34-18,인제군평생학습센터,중급,http://lifelong.inje.go.kr
AI프롬프트 엔지니어링_기초편(인제읍),AI프롬프트 엔지니어링_기초편(인제읍),성인,오프라인,강원특별자치도 인제군 인제읍 덕산로192번길 66-8,인제군평생학습센터,중급,http://lifelong.inje.go.kr
AI와 함께하는 건강한 100세 인생 만들기(기린면),AI와 함께하는 건강한 100세 인생 만들기(기린면),성인,오프라인,강원특별자치도 인제군 기린면 대내로 34-18,인제군평생학습센터,초급,http://lifelong.inje.go.kr
AI 코딩 세계,프로그래밍 도구를 활용하여 코딩 배우기,초등학생,오프라인,충청북도 제천시 숭의로29,제천학생회관,중급,http://jcsh.go.kr
읍면 평생학습 프로그램,AI 창작글쓰기,지역주민,오프라인,강원특별자치도 영월군 영월읍 중리1길 10,강원특별자치도 영월군,중급,https://lll.yw.go.kr
읍면 평생학습 프로그램,chatGPT 실생활 혁신,지역주민,오프라인,강원특별자치도 영월군 영월읍 중리1길 10,강원특별자치도 영월군,초급,https://lll.yw.go.kr
읍면 평생학습 프로그램,스마트폰 AI 영상편집,지역주민,오프라인,강원특별자치도 영월군 영월읍 중리1길 10,강원특별자치도 영월군,중급,https://lll.yw.go.kr
읍면 평생학습 프로그램hat GPT로 영어/외국어 배우기,chat GPT로 영어/외국어 배우기,지역주민,오프라인,강원특별자치도 영월군 영월읍 중리1길 10,강원특별자치도 영월군,중급,https://lll.yw.go.kr
나도 작가 전자책 만들기,인공지능 활용 그림책 만들기,학부모 및 일반인,오프라인,경상북도 영주시 영주로60번길 38,경상북도교육청 영주선비도서관,중급,http://www.gbelib.kr/yj
누구나 할 수 있는 ChatGPT 실생활 혁신,인공지능 활용,학부모 및 일반인,오프라인,경상북도 영주시 영주로60번길 38,경상북도교육청 영주선비도서관,중급,http://www.gbelib.kr/yj
AI 활용 수익화 블로그 만들기,디지털문화,성인,온라인,충청남도 천안시 동남구 목천읍 충절로 843,충청남도교육청평생교육원,중급,https://cle.cne.go.kr
생성형AI로 찍는 배움의 쉼표,생성형 AI 활용,지역주민,오프라인,서울특별시 서대문구 연희로36길 49,서울특별시 서대문구청,중급,http://www.sdm.go.kr/lll
쉽게 배우는 일상 속 AI,AI 활용,지역주민,오프라인,서울특별시 서대문구 연희로36길 49,서울특별시 서대문구청,초급,http://www.sdm.go.kr/lll
왕초보를 위한 AI비서 유기한 일상 만들기,AI 활용,지역주민,오프라인,서울특별시 서대문구 연희로36길 49,서울특별시 서대문구청,초급,http://www.sdm.go.kr/lll
AI와 스마트폰을 활용한 도서블로거 되기,도서블로거 되기,지역주민,오프라인,서울특별시 서대문구 연희로36길 49,서울특별시 서대문구청,중급,http://www.sdm.go.kr/lll
유익한 학습-생성형 AI와 함께하는 일상 활용,생성형 AI 활용,지역주민,오프라인,서울특별시 서대문구 연희로36길 49,서울특별시 서대문구청,중급,http://www.sdm.go.kr/lll
유익한 AI 글쓰기,글쓰기,지역주민,오프라인,서울특별시 서대문구 연희로36길 49,서울특별시 서대문구청,중급,http://www.sdm.go.kr/lll
생성형 AI 200 활용하기 입문,생성형 AI 200 활용하기 입문,양평군민+성인,오프라인,경기도 양평군 양평읍 마유산로 3,양평군 평생학습센터,초급,https://www.yp21.go.kr/lll/index.do
컴퓨터 영상 편집반,컴퓨터 기초반 이상 수료생을 위해 최근 많이 알려진 “생성형 AI” 기술을 활용한 영상편집 방법으로 콘텐츠를 만드는 컴퓨터 영상편집 기술교육,성인,오프라인,제주특별자치도 서귀포시 서문로29번길 10,제주특별자치도 서귀포시 평생학습관,중급,http://edu.seogwipo.go.kr/
"AI 디지털 성장 교실, 미래를 디자인 하다",AI 플랫폼을 활용해 디지털 창작물 제작,초등3+초등4+초등5+초등6,오프라인,강원특별자치도 강릉시 노암등길 37-1,강릉교육문화관,중급,https://lib.gwe.go.kr/gnecc/index.do
AI 코딩로봇,플랫코 APP코딩을 통한 원리이해,초등3+초등4+초등5+초등6,오프라인,강원특별자치도 강릉시 노암등길 37-1,강릉교육문화관,고급,https://lib.gwe.go.kr/gnecc/index.do
AI로 완성하는 수행평가,"챗GPT등 다양한 Ai도구를 활용하여 과목별 수행평가(자기주도적인 글쓰기, 발표자료, 시각자료 제작등) 역량 기르기",초6~중3,오프라인,충청남도 서산시 동서1로 41-4,충청남도교육청서부평생교육원,중급,http://csbl.cne.go.kr
인공지능 사고력 수학,코딩의 개념을 활용한 인공지능 수학풀이,초등3+초등4,오프라인,강원특별자치도 강릉시 노암등길 37-1,강릉교육문화관,중급,https://lib.gwe.go.kr/gnecc/index.do
챗GPT 바로 써먹는 실전 활용법,챗GPT 바로 써먹는 실전 활용법 강의,성인,오프라인,강원특별자치도 태백시 태백로 1239,강원특별자치도 태백시 평생학습관,중급,http://www.taebaek.go.kr
AI 치매예방 평생바둑,AI 치매예방 평생바둑 강의,성인,오프라인,강원특별자치도 태백시 천제단길 168,한국기원 태백분원,초급,http://www.taebaek.go.kr
AI앱으로 일상 업그레이드(B반),스마트폰을 활용한 AI프로그램 습득,일반,오프라인,경상남도 산청군 신안면 원지강변로 101,산청지리산도서관,중급,http://sjlib.gne.go.kr
AI앱으로 일상 업그레이드(A반),스마트폰을 활용한 AI프로그램 습득,일반,오프라인,경상남도 산청군 신안면 원지강변로 101,산청지리산도서관,중급,http://sjlib.gne.go.kr
스마트폰 활용에서 사진 작품까지,AI 시대에 맞는 스마트폰 활용법,일반,오프라인,경상남도 밀양시 삼랑진읍 만어로 7,경상남도교육청 밀양도서관,초급,http://mrlib.gne.go.kr
"자녀교육 트렌드: AI 시대, 배움의 판이 바뀐다",인문교양,전체,혼합,서울특별시 종로구 송월길 28 (신문로2가2-77),동작도서관,초급,https://everlearning.sen.go.kr
AI툰 스케치-나만의 웹툰 시작하기,인문교양,성인,혼합,서울특별시 종로구 송월길 28 (신문로2가2-77),영등포평생학습관,중급,https://everlearning.sen.go.kr
AI 영상 제작 첫 걸음,영상 제작 원리 이해,학부모 및 성인,오프라인,경상북도 상주시 상서문 1길 127,경상북도교육청 상주도서관,중급,http://www.gbelib.kr/sj/index.do
"2025 하반기 평생교육프로그램(인공지능시대, 부모 AI 교육)",부모 교육,지역주민,온라인,경기도 성남시 수정구 공원로 370번길 26,경기도교육청_경기성남교육도서관,초급,https://lib.goe.go.kr/sn/
2025 하반기 평생교육프로그램(인공지능 코딩체험),그림책 코딩,지역주민,오프라인,경기도 성남시 수정구 공원로 370번길 26,경기도교육청_경기성남교육도서관,중급,https://lib.goe.go.kr/sn/
챗GPT부터 시작하는 AI,챗GPT 등 AI 쉽게 배우고 활용하기,성인,오프라인,경상남도 김해시 서부로 1541번길9,경상남도교육청 김해지혜의바다도서관,초급,http://ghjhlib.gne.go.kr
AI와 미리캔버스로 감각적인 콘텐츠 제작 클래스,AI,일반,온라인,충청남도 논산시 부창로 71(부창동),충청남도교육청남부평생교육원,중급,
내 삶을 바꾸는 챗GPT 활용법,챗GPT,일반,온라인,충청남도 논산시 부창로 71(부창동),충청남도교육청남부평생교육원,중급,
[국비] Chat GPT 활용 수익형 블로그 마케팅,[국비] Chat GPT 활용 수익형 블로그 마케팅,청년/직장인+성인,혼합,대구광역시 수성구 명덕로 393 (수성동1가),대구광역시평생교육원,중급,
생성형 AI 스마트 플랫폼의 모든것,생성형 AI 스마트 플랫폼의 모든것 강좌,유아+초등+청소년+청년/직장인+성인+어르신+장애인+외국인+기타,온라인,대구광역시 북구 연암로 40,대구광역시시행복진흥사회서비스원 대구광역시평생교육진흥원,초급,
[시민제안강의] 스마트폰을 활용한 시니어 AI 교육,?[시민제안강의] 스마트폰을 활용한 시니어 AI 교육 강좌,성인+어르신,혼합,대구광역시 북구 연암로 40,대구광역시시행복진흥사회서비스원 대구광역시평생교육진흥원,초급,
[시민제안강의] AI로 똑똑하게 사는법 스마트폰 하나면 충분해요.,?[시민제안강의] AI로 똑똑하게 사는법 스마트폰 하나면 충분해요. 강좌,유아+초등+청소년+청년/직장인+성인+어르신+장애인+외국인+기타,혼합,대구광역시 북구 연암로 40,대구광역시시행복진흥사회서비스원 대구광역시평생교육진흥원,초급,
[국비] Chat GPT 활용 수익형 블로그 마케팅,[국비] Chat GPT 활용 수익형 블로그 마케팅 ,청년/직장인+성인,혼합,대구광역시 수성구 명덕로 393 (수성동1가),대구광역시평생교육원,중급,
[시민제안강의] “스마트폰으로 배우는 Chat GPT 사용법과 활용법”,?[시민제안강의] “스마트폰으로 배우는 Chat GPT 사용법과 활용법” 강좌,유아+초등+청소년+청년/직장인+성인+어르신+장애인+외국인+기타,혼합,대구광역시 북구 연암로 40,대구광역시시행복진흥사회서비스원 대구광역시평생교육진흥원,초급,
"AI야, 나 좀 도와줘",AI 활용법,학부모,오프라인,강원특별자치도 원주시 북원로 2312,강원특별자치도교육청원주교육문화관,초급,https://lib.gwe.go.kr/wjecc/
AI 프롬프트 활용능력 2급,AI 프롬프트 자격증 과정,중등,오프라인,강원특별자치도 원주시 북원로 2312,강원특별자치도교육청원주교육문화관,중급,https://lib.gwe.go.kr/wjecc/
"E-센서보드, 움직이는 AI코딩",인공지능 접목 코딩 학습,초등,오프라인,강원특별자치도 원주시 북원로 2312,강원특별자치도교육청원주교육문화관,중급,https://lib.gwe.go.kr/wjecc/
[일반] 강사들을 위한 비서,"[일반] 강사들을 위한 비서, 생성형 AI",청년/직장인+성인,혼합,대구광역시 수성구 명덕로 393 (수성동1가),대구광역시평생교육원,초급,
[국비] Chat GPT 활용 수익형 블로그 마케팅,[국비] Chat GPT 활용 수익형 블로그 마케팅,청년/직장인+성인,혼합,대구광역시 수성구 명덕로 393 (수성동1가),대구광역시평생교육원,중급,
[일반] ChatGPT 적극활용 ChatGPT를 이용한 정부지원 사업계획서 작성 ,[일반] ChatGPT 적극활용 ChatGPT를 이용한 정부지원 사업계획서 작성 ,청년/직장인+성인,혼합,대구광역시 수성구 명덕로 393 (수성동1가),대구광역시평생교육원,중급,
"[일반] 업무 생산성을 높이는 ChatGPT, AI 비서로 활용하기 ","[일반] 업무 생산성을 높이는 ChatGPT, AI 비서로 활용하기",청년/직장인+성인,혼합,대구광역시 수성구 명덕로 393 (수성동1가),대구광역시평생교육원,중급,
AI프롬프트 수익형 블로그와 쿠팡판매전략,AI프롬프트 수익형 블로그와 쿠팡판매전략 강좌,성인,혼합,대구광역시 동구 아양로8길 10-1,(사)한국여성인력개발원동구여성문화공간,중급,
초등 AI와 메타버스(초3~6학년),초등 학습,초3~6학년,오프라인,충청남도 천안시 동남구 목천읍 충절로 843,충청남도교육청평생교육원,초급,https://cle.cne.go.kr
